"","...1","...2","Latitude","Longitude","Elevation","Canopy_Height_cm","SampleYear","Site","...9","SampleDate","SampleID","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","mean_stem_elong","mean_leaf_length","max_mean_width_cm","Match","SampleSite","Date_propagated","Date_planted","Year_planted","Mother_LS","Cutting_length","Cutting_diameter","SampleID_standard","Species"
"277",197,188,NA,NA,NA,86,2016,"Kluane",NA,2016-07-05,"KP16SR9",104,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,"KP16SR9","Kluane Plateau",2016-07-06,2016-08-08,2016,25.6,33.8,7.5,"KP16SR9","Salix richardsonii"
"278",25,8,NA,NA,NA,4.8,2017,"Kluane",NA,2017-08-09,"KP17SA1",16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"#N/A","Kluane Plateau",NA,2017-08-10,2017,4,19,7.67,"KP17SA1","Salix arctica"
"279",34,17,NA,NA,NA,5,2017,"Kluane",NA,2017-08-09,"KP17SA10",44,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5,"#N/A","Kluane Plateau",NA,2017-08-10,2017,10,12.7,9.9,"KP17SA10","Salix arctica"
"280",26,9,NA,NA,NA,5,2017,"Kluane",NA,2017-08-09,"KP17SA2",35,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,"#N/A","Kluane Plateau",NA,2017-08-10,2017,3,17.6,6.85,"KP17SA2","Salix arctica"
"281",27,10,NA,NA,NA,3,2017,"Kluane",NA,2017-08-09,"KP17SA3",28,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,"#N/A","Kluane Plateau",NA,2017-08-10,2017,10,12.1,7.66,"KP17SA3","Salix arctica"
"282",28,11,NA,NA,NA,5,2017,"Kluane",NA,2017-08-09,"KP17SA4",57,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,"#N/A","Kluane Plateau",NA,2017-08-10,2017,11,14.9,8.47,"KP17SA4","Salix arctica"
"283",29,12,NA,NA,NA,5,2017,"Kluane",NA,2017-08-09,"KP17SA5",29,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,"#N/A","Kluane Plateau",NA,2017-08-10,2017,8,16.4,12,"KP17SA5","Salix arctica"
"284",30,13,NA,NA,NA,10,2017,"Kluane",NA,2017-08-09,"KP17SA6",23,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"#N/A","Kluane Plateau",NA,2017-08-10,2017,10,9.7,16.45,"KP17SA6","Salix arctica"
"285",31,14,NA,NA,NA,4,2017,"Kluane",NA,2017-08-09,"KP17SA7",45,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,"#N/A","Kluane Plateau",NA,2017-08-10,2017,45,14.8,7.71,"KP17SA7","Salix arctica"
"286",32,15,NA,NA,NA,6,2017,"Kluane",NA,2017-08-09,"KP17SA8",61,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,"#N/A","Kluane Plateau",NA,2017-08-10,2017,9,17.4,6.42,"KP17SA8","Salix arctica"
"287",33,16,NA,NA,NA,4,2017,"Kluane",NA,2017-08-09,"KP17SA9",45,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,"#N/A","Kluane Plateau",NA,2017-08-10,2017,8,13,9.07,"KP17SA9","Salix arctica"
"288",18,1,NA,NA,NA,84,2017,"Kluane",NA,2017-08-09,"KP17SP1",113,123,51,97,86,59,62,61,NA,78,60.6666666666667,118,"#N/A","Kluane Plateau",NA,2017-08-10,2017,33,37.8,9.9,"KP17SP1","Salix pulchra"
"289",78,65,NA,NA,NA,25,2017,"Kluane",NA,2017-08-19,"KP17SP10",165,122,36,38,30,54,52,51,NA,34.6666666666667,52.3333333333333,143.5,"#N/A","Kluane Plateau",NA,2017-08-19,2017,8.1,30.7,9,"KP17SP10","Salix pulchra"
