"","SampleID","Match","SampleSite","SampleDate","Date_propagated","Date_planted","Year_planted","Canopy_Height_cm","Width_cm","Width_2_cm","Mother_LS","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Cutting_length","Cutting_diameter","Site","SampleYear","mean_stem_elong","mean_leaf_length","mean_width","SampleID_standard"
"249","PP16TSR9","PP16TSr9","Printers Pass",2016-07-01,NA,2016-07-02,2016,41,80,56,18,NA,NA,NA,NA,NA,NA,27.9,12.4,"Kluane",2016,NA,NA,68,"PP16TSR9"
"250","PP16TSR10","PP16TSr10","Printers Pass",2016-07-01,NA,2016-07-02,2016,36,65,32,19,NA,NA,NA,NA,NA,NA,33.7,12.4,"Kluane",2016,NA,NA,48.5,"PP16TSR10"
"251","PP16TSP1","PP16TSP1","Printers Pass",2016-07-01,2016-07-02,2016-08-08,2016,48,162,151,17,NA,NA,NA,NA,NA,NA,32.1,9.7,"Kluane",2016,NA,NA,156.5,"PP16TSP1"
"252","PP16TSP2","PP16TSP2","Printers Pass",2016-07-01,2016-07-02,2016-08-08,2016,44,84,108,13,NA,NA,NA,NA,NA,NA,30.3,8.9,"Kluane",2016,NA,NA,96,"PP16TSP2"
"253","PP16TSP3","PP16TSP3","Printers Pass",2016-07-01,2016-07-02,2016-08-08,2016,27,168,89,12,NA,NA,NA,NA,NA,NA,28.1,8.8,"Kluane",2016,NA,NA,128.5,"PP16TSP3"
"254","PP16TSP4","PP16TSP4","Printers Pass",2016-07-01,2016-07-02,2016-08-08,2016,23,77,43,10,NA,NA,NA,NA,NA,NA,32,10.1,"Kluane",2016,NA,NA,60,"PP16TSP4"
"255","PP16TSP5","PP16TSP5","Printers Pass",2016-07-01,2016-07-02,2016-08-08,2016,22,91,20,6,NA,NA,NA,NA,NA,NA,22.7,6.7,"Kluane",2016,NA,NA,55.5,"PP16TSP5"
"256","PP16TSP6","PP16TSp6","Printers Pass",2016-07-01,NA,2016-07-02,2016,45,131,59,10,NA,NA,NA,NA,NA,NA,NA,NA,"Kluane",2016,NA,NA,95,"PP16TSP6"
"257","PP16TSP7","PP16TSp7","Printers Pass",2016-07-01,NA,2016-07-02,2016,39,152,102,25,NA,NA,NA,NA,NA,NA,NA,NA,"Kluane",2016,NA,NA,127,"PP16TSP7"
"258","PP16TSP8","PP16TSp8","Printers Pass",2016-07-01,NA,2016-07-02,2016,58,141,103,29,NA,NA,NA,NA,NA,NA,NA,NA,"Kluane",2016,NA,NA,122,"PP16TSP8"
"259","PP16TSP9","PP16TSp9","Printers Pass",2016-07-01,NA,2016-07-02,2016,33,226,141,22,NA,NA,NA,NA,NA,NA,NA,NA,"Kluane",2016,NA,NA,183.5,"PP16TSP9"
"260","PP16TSP10","PP16TSp10","Printers Pass",2016-07-01,NA,2016-07-02,2016,64,104,62,18,NA,NA,NA,NA,NA,NA,NA,NA,"Kluane",2016,NA,NA,83,"PP16TSP10"
