"Plot Title: Phenology"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Air Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Canopy Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Ground Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Soil Temp)","Good Battery (LGR S/N: 10737643)","Host Connected (LGR S/N: 10737643)","End Of File (LGR S/N: 10737643)"
275,08/07/17 01:00:00  PM,18.343,19.270,3.696,7.670,,,
276,08/07/17 02:00:00  PM,19.984,21.103,3.722,8.070,,,
277,08/07/17 03:00:00  PM,20.436,20.722,3.801,8.618,,,
278,08/07/17 04:00:00  PM,18.010,18.533,3.854,9.040,,,
279,08/07/17 05:00:00  PM,16.201,16.892,3.906,9.188,,,
280,08/07/17 06:00:00  PM,17.225,18.485,4.011,9.262,,,
281,08/07/17 07:00:00  PM,16.725,16.796,4.115,9.238,,,
282,08/07/17 08:00:00  PM,13.642,14.146,4.194,9.114,,,
283,08/07/17 09:00:00  PM,12.920,13.353,4.246,8.916,,,
284,08/07/17 10:00:00  PM,12.968,12.678,4.298,8.693,,,
285,08/07/17 11:00:00  PM,12.558,12.340,4.324,8.494,,,
286,08/08/17 12:00:00  AM,13.137,12.630,4.376,8.419,,,
287,08/08/17 01:00:00  AM,12.727,11.759,4.376,8.344,,,
288,08/08/17 02:00:00  AM,13.016,12.461,4.402,8.170,,,
289,08/08/17 03:00:00  AM,13.570,12.799,4.558,8.220,,,
290,08/08/17 04:00:00  AM,13.570,12.678,4.532,8.245,,,
291,08/08/17 05:00:00  AM,14.337,13.137,4.558,8.319,,,
292,08/08/17 06:00:00  AM,13.810,12.968,4.532,8.319,,,
293,08/08/17 07:00:00  AM,11.175,10.785,4.532,8.245,,,
294,08/08/17 08:00:00  AM,11.419,11.029,4.532,8.070,,,
295,08/08/17 09:00:00  AM,11.394,11.102,4.532,7.945,,,
296,08/08/17 10:00:00  AM,11.029,11.078,4.506,7.845,,,
297,08/08/17 11:00:00  AM,10.663,10.785,4.480,7.770,,,
298,08/08/17 12:00:00  PM,10.956,11.200,4.454,7.720,,,
299,08/08/17 01:00:00  PM,11.880,12.413,4.428,7.720,,,
300,08/08/17 02:00:00  PM,10.980,11.321,4.402,7.770,,,
301,08/08/17 03:00:00  PM,10.663,10.907,4.376,7.720,,,
302,08/08/17 04:00:00  PM,10.467,10.810,4.350,7.645,,,
303,08/08/17 05:00:00  PM,10.736,10.956,4.402,7.645,,,
304,08/08/17 06:00:00  PM,11.127,11.321,4.350,7.645,,,
305,08/08/17 07:00:00  PM,10.980,11.637,4.324,7.670,,,
306,08/08/17 08:00:00  PM,10.394,10.810,4.324,7.645,,,
307,08/08/17 09:00:00  PM,10.149,10.369,4.298,7.544,,,
308,08/08/17 10:00:00  PM,10.198,10.100,4.298,7.393,,,
309,08/08/17 11:00:00  PM,10.100,9.731,4.298,7.242,,,
310,08/09/17 12:00:00  AM,9.952,9.608,4.298,7.116,,,
311,08/09/17 01:00:00  AM,9.854,9.262,4.272,6.990,,,
312,08/09/17 02:00:00  AM,9.682,8.643,4.246,6.839,,,
313,08/09/17 03:00:00  AM,10.443,9.558,4.194,6.687,,,
314,08/09/17 04:00:00  AM,9.558,8.344,4.168,6.585,,,
315,08/09/17 05:00:00  AM,9.064,6.864,4.115,6.382,,,
316,08/09/17 06:00:00  AM,9.040,6.128,4.037,6.128,,,
317,08/09/17 07:00:00  AM,10.394,8.717,3.985,5.898,,,
318,08/09/17 08:00:00  AM,13.040,8.941,3.932,5.796,,,
319,08/09/17 09:00:00  AM,16.701,12.001,3.854,5.796,,,
320,08/09/17 10:00:00  AM,18.889,16.415,3.801,5.949,,,
321,08/09/17 11:00:00  AM,20.365,19.199,3.749,6.331,,,
322,08/09/17 12:00:00  PM,22.034,19.936,3.722,6.889,,,
323,08/09/17 01:00:00  PM,20.412,20.531,3.722,7.444,,,
324,08/09/17 02:00:00  PM,21.366,20.841,3.749,8.020,,,
325,08/09/17 03:00:00  PM,17.368,18.010,3.827,8.618,,,
326,08/09/17 04:00:00  PM,20.222,18.842,3.880,8.841,,,
327,08/09/17 05:00:00  PM,17.819,16.677,3.958,8.866,,,
328,08/09/17 06:00:00  PM,16.939,15.581,4.037,8.792,,,
329,08/09/17 07:00:00  PM,16.654,15.605,4.115,8.643,,,
330,08/09/17 08:00:00  PM,16.272,16.010,4.168,8.543,,,
331,08/09/17 09:00:00  PM,14.505,14.170,4.220,8.419,,,
332,08/09/17 10:00:00  PM,13.762,13.281,4.272,8.270,,,
333,08/09/17 11:00:00  PM,12.534,12.195,4.298,8.120,,,
334,08/10/17 12:00:00  AM,11.734,11.419,4.324,7.920,,,
335,08/10/17 01:00:00  AM,11.467,10.712,4.324,7.720,,,
336,08/10/17 02:00:00  AM,11.734,10.785,4.324,7.444,,,
337,08/10/17 03:00:00  AM,11.904,10.736,4.324,7.293,,,
