"","Match","Species","Sample_location","Sample_location_full","Date_sampled","Date_propagated","Date_planted","Year_planted","Mother_height","Mother_CW_1","Mother_CW_2","Mother_LS","Mother_LL1","Mother_LL2","Mother_LL3","Mother_SE1","Mother_SE2","Mother_SE3","Mother_Sex","Cutting_length","Cutting_diameter","Cutting_age","Year_dead","Survived_2014","Survived_2015","Survived_2016","Survived_2017","Survived_2018","Survived_2019","Survived_2020","Survived_2021","Bed","Row","Column","Notes","Field_notes","Data_notes","SampleID","SampleID_standard","population","Survived_2023","Survived_2022"
"10077",NA,"Salix pulchra","Kluane","Kluane Plateau","21/08/2018",NA,"23/08/2018",2018,78,NA,NA,NA,48,38,46,81,58,"22","Female",66.9,"11.55",11,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sp5","KP18SP5","Southern","0","0"
"10078",NA,"Salix pulchra","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,103,NA,NA,NA,32,53,40,25,36,"38","Female",57.7,"16.31",17,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as ""dead"" in 2019","KP18Sp6","KP18SP6","Southern","0","0"
"10079",NA,"Salix pulchra","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,103,NA,NA,NA,32,53,40,25,36,"38","Female",57.7,"16.31",17,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as ""dead"" in 2019","KP18Sp6","KP18SP6","Southern","0","0"
"10080",NA,"Salix pulchra","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,103,NA,NA,NA,32,53,40,25,36,"38","Female",57.7,"16.31",17,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as ""dead"" in 2019","KP18Sp6","KP18SP6","Southern","0","0"
"10081",NA,"Salix pulchra","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,103,NA,NA,NA,32,53,40,25,36,"38","Female",57.7,"16.31",17,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as ""dead"" in 2019","KP18Sp6","KP18SP6","Southern","0","0"
"10082",NA,"Salix pulchra","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,103,NA,NA,NA,32,53,40,25,36,"38","Female",57.7,"16.31",17,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as ""dead"" in 2019","KP18Sp6","KP18SP6","Southern","0","0"
"10083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HESr4B","HESR4B",NA,NA,NA
"10084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HESr4B","HESR4B",NA,NA,NA
"10085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HESr4B","HESR4B",NA,NA,NA
"10086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HESr4B","HESR4B",NA,NA,NA
"10087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HESr4B","HESR4B",NA,NA,NA
"10088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15Bn11","H15BN11",NA,NA,NA
"10089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15Bn11","H15BN11",NA,NA,NA
"10090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15Bn11","H15BN11",NA,NA,NA
"10091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15Bn11","H15BN11",NA,NA,NA
"10092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15Bn11","H15BN11",NA,NA,NA
"10093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15Bn11","H15BN11",NA,NA,NA
"10094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15Bn13","H15BN13",NA,NA,NA
