"","Species","population","SLA","LA","LDMC_percent","group_color","group_shape"
"322","Salix pulchra","N. Garden",14.800396825,406.9,45.83333335,"north","garden"
"323","Salix pulchra","S. Garden",15.29876161,824.6,39.97252745,"south","garden"
"324","Salix pulchra","S. Garden",11.025,374.85,45.5357143,"south","garden"
"325","Salix pulchra","S. Garden",10.947348485,650.6,41.07843135,"south","garden"
"326","Salix pulchra","S. Garden",18.21673684,535.3,25.97902095,"south","garden"
"327","Salix pulchra","S. Garden",17.856214285,477.9,44.1666667,"south","garden"
"328","Salix pulchra","S. Garden",11.00868421,321.85,46.1111111,"south","garden"
"329","Salix pulchra","S. Garden",12.132917885,450.9,39.375,"south","garden"
"330","Salix pulchra","S. Garden",17.391025645,1359.8,33.6969697,"south","garden"
"331","Salix pulchra","S. Garden",13.483758285,588.65,45.20833335,"south","garden"
"332","Salix pulchra","S. Garden",12.42276498,410.5,33.1313131,"south","garden"
"333","Salix pulchra","S. Garden",11.3079465,413.4,38.01136365,"south","garden"
"334","Salix pulchra","S. Garden",10.028274684,797.65,36.21794875,"south","garden"
"335","Salix pulchra","S. Garden",9.353693182,628.5,46.4460784,"south","garden"
"336","Salix pulchra","S. Garden",10.406280785,629.85,39.02083335,"south","garden"
"337","Salix pulchra","S. Garden",22.2125,177.7,16,"south","garden"
"338","Salix pulchra","S. Garden",15.24935994,780.4,34.3073593,"south","garden"
"339","Salix pulchra","S. Garden",14.280316095,546.1,40.7142857,"south","garden"
"340","Salix pulchra","S. Garden",12.912589385,1109.65,38.7037037,"south","garden"
"341","Salix pulchra","S. Garden",14.42222222,834.55,39.40191385,"south","garden"
"342","Salix pulchra","S. Garden",12.516873525,740.55,39.58333335,"south","garden"
"343","Salix pulchra","S. Garden",12.739031865,903.8,39.85714285,"south","garden"
"344","Salix pulchra","S. Source",19.5752895752896,5070,26.2145748987854,"south","source"
"345","Salix pulchra","S. Source",20.7248322147651,3088,24.2671009771987,"south","source"
"346","Salix pulchra","S. Source",22.5017699115044,2542.7,24.8898678414097,"south","source"
"347","Salix pulchra","S. Source",17.4877022653722,5403.7,28.4530386740332,"south","source"
"348","Salix pulchra","S. Source",19.903488372093,3423.4,27.52,"south","source"
"349","Salix pulchra","S. Source",20.9542857142857,3667,22.7272727272727,"south","source"
"350","Salix pulchra","S. Source",21.4986577181208,3203.3,22.782874617737,"south","source"
"351","Salix pulchra","S. Source",14.6013966480447,10454.6,31.6394167034909,"south","source"
"352","Salix pulchra","S. Source",16.3967914438503,6132.4,30.016051364366,"south","source"
"353","Salix pulchra","S. Source",15.572745490982,7770.8,31.3048933500627,"south","source"
"354","Salix pulchra","S. Source",15.3254512635379,8490.3,31.729667812142,"south","source"
"355","Salix pulchra","S. Source",12.3850828729282,6725.1,37.0395634379263,"south","source"
"356","Salix pulchra","S. Source",16.9629343629344,4393.4,31.7791411042945,"south","source"
"357","Salix pulchra","S. Source",16.9619565217391,6242,30.4635761589404,"south","source"
"358","Salix pulchra","S. Source",10.5001879699248,5586.1,39.2041267501842,"south","source"
