"","X.2","X.1","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","max_stem_diam","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population"
"91",2753,2086,2086,"GD","H18Sr6",2018,"Salix richardsonii","Qikiqtaruk","2021-08-09",8,9,2021,2.8,4.8,3.5,9,15,14,14,5,7,8,"H18SR6",47.04,3,6.66666666666667,14.3333333333333,4.15,"Northern"
"92",2225,2483,2483,"GD","H18Sr8",2018,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,4.2,5.6,5.2,6,NA,NA,NA,18,14,20,"H18SR8",122.304,2,17.3333333333333,NA,5.4,"Northern"
"93",3097,3097,3097,"SAB","HE16Sa14",2016,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,5,16.5,19,10,19,21,21,9,8,24,"HE16SA14",1567.5,6,13.6666666666667,20.3333333333333,17.75,"Northern"
"94",3028,3028,3028,"JA","HE16Sa3",2016,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4,14.5,14,9,35,27,30,51,35,31,"HE16SA3",812,6,39,30.6666666666667,14.25,"Northern"
"95",3098,3098,3098,"SAB","HE16Sa6",2016,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,2.5,8.5,7.5,6,20,25,22,5,8,4,"HE16SA6",159.375,6,5.66666666666667,22.3333333333333,8,"Northern"
"96",3099,3099,3099,"SAB","HE16Sa7",2016,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,3.5,20,14,10,35,26,29,16,16,25,"HE16SA7",980,6,19,30,17,"Northern"
"97",2963,2963,2963,"SL","HE16Sp15",2016,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,6,16.5,11.5,8,25,20,24,11,10,17,"HE16SP15",1138.5,6,12.6666666666667,23,14,"Northern"
"98",3046,3046,3046,"JG","HE16Sp17",2016,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,6,11,15.5,9,19,26,22,18,27,15,"HE16SP17",1023,6,20,22.3333333333333,13.25,"Northern"
"99",3063,3063,3063,"MG","HESp11",2013,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,18,27,25,13,31,28,22,16,12,29,"HESP11",12150,9,19,27,26,"Northern"
"100",2762,2095,2095,"CF","HESp12",2013,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,11.4,32,20,24,23,24,25,8,18,12,"HESP12",7296,8,12.6666666666667,24,26,"Northern"
"101",2764,2097,2097,"MG","HESp14",2013,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,4,9.6,8.5,10,24,29,26,6,11,14,"HESP14",326.4,8,10.3333333333333,26.3333333333333,9.05,"Northern"
"102",3074,3074,3074,"MG","HESp17",2013,"Salix pulchra","Qikiqtaruk","2022-07-22",7,23,2022,5,9,6.5,9,11,12,14,5,5,2,"HESP17",292.5,9,4,12.3333333333333,7.75,"Northern"
"103",2766,2099,2099,"IMS","HESp2",2013,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,4.4,6.9,3.1,10,NA,NA,NA,16,10,13,"HESP2",94.116,8,13,NA,5,"Northern"
"104",2298,2556,2556,"MG","HESp20",2013,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,10.4,16.8,8.9,12,14,23,22,16,14,21,"HESP20",1555.008,7,17,19.6666666666667,12.85,"Northern"
"105",2920,2920,2920,"IMS","HESp24",2013,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,8.5,26,23,10,31,29,28,41,28,31,"HESP24",5083,9,33.3333333333333,29.3333333333333,24.5,"Northern"
"106",3122,3122,3122,"AB","HESp29",2013,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,12,19,16,18,20,26,21,18,17,19,"HESP29",3648,9,18,22.3333333333333,17.5,"Northern"
"107",2921,2921,2921,"IMS","HESp3",2013,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,14,29,30,24,21,24,24,23,15,25,"HESP3",12180,9,21,23,29.5,"Northern"
"108",2305,2563,2563,"IMS","HESp4",2013,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,8.8,16.2,15.2,10,22,18,NA,20,12,24,"HESP4",2166.912,7,18.6666666666667,NA,15.7,"Northern"
"109",2308,2566,2566,"CF","HESp6",2013,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,15.2,19.4,16.6,10,11,16,12,18,21,16,"HESP6",4895.008,7,18.3333333333333,13,18,"Northern"
