"","Species","plant_tag_id","sample_id","date_sampled","total_leaf_dry_mass_g","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","month","year","DOY","population","LDMC_g_g","Site","site_id","total_leaf_dry_mass_mg","Wood_density_mg_mm3","Lat","Lon","Elevation_m","date","MONTH"
"117","Salix pulchra","HESP12",137057531,"2022-06-25",0.163,15.2073619631902,65.7576246570921,31.047619047619,0.0146038405680168,0.59,24.788,0.525,"06","2022","176","Northern",0.276271186440678,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"118","Salix arctica","KP17SA2",137057589,"2022-06-25",0.393,8.21297709923664,121.758527744214,37.0754716981132,0.0206648697214735,1.18,32.277,1.06,"06","2022","176","Southern",0.333050847457627,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"119","Salix arctica","PC17SA1",137057665,"2022-06-25",NA,NA,NA,NA,NA,NA,NA,0.93,"06","2022","176","Southern",NA,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"120","Salix arctica","HE16SA3",137057735,"2022-06-25",0.16,12.913125,77.440588548473,30.7692307692308,0.0174241324234064,0.55,20.661,0.52,"06","2022","176","Northern",0.290909090909091,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"121","Salix pulchra","KP16SP59",137057792,"2022-06-25",0.145,11.5613793103448,86.4948699594369,40.2777777777778,0.0128251014077786,0.386,16.764,0.36,"06","2022","176","Southern",0.375647668393782,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"122","Salix pulchra","HERSP12",137057857,"2022-06-25",0.129,12.4093023255814,80.5847076461769,34.4919786096257,0.0153048475762119,0.4,16.008,0.374,"06","2022","176","Northern",0.3225,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"123","Salix pulchra","HESP20",137057921,"2022-06-25",0.079,19.7860759493671,50.5405924125136,29.2592592592593,0.0122193077858102,0.3,15.631,0.27,"06","2022","176","Northern",0.263333333333333,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"124","Salix richardsonii","KLSRE11",137058002,"2022-06-25",0.441,13.8600907029478,72.1495999869116,31.5,0.0156896749177887,1.496,61.123,1.4,"06","2022","176","Southern",0.294786096256684,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"125","Salix richardsonii","KLSRE14",137058075,"2022-06-25",0.467,11.4419700214133,87.397537148632,32.6573426573427,0.0180222330351462,1.5,53.434,1.43,"06","2022","176","Southern",0.311333333333333,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"126","Salix arctica","HE16SA7",137058151,"2022-06-25",0.269,10.5063197026022,95.1808081522893,30.5681818181818,0.0216191352345906,0.964,28.262,0.88,"06","2022","176","Northern",0.279045643153527,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"127","Salix arctica","KP17SA6",137058203,"2022-06-25",0.339,12.9011799410029,77.5122899279753,30.8181818181818,0.0174002515148051,1.122,43.735,1.1,"06","2022","176","Southern",0.302139037433155,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"128","Salix richardsonii","KLSRC13",137058352,"2022-06-25",0.624,14.1427884615385,70.7074140802937,28.8888888888889,0.0174049019274569,2.304,88.251,2.16,"06","2022","176","Southern",0.270833333333333,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
