"","PhenocamID","ShrubID_Standard","Year","Plants_first_visible_through_snow","Snow_melt","All_snow_free","Snow_return_EoS","Half_snow_cover_EoS","Full_snow_cover_EoS","First_leaf_bud_burst","First_leaf_yellow","Last_leaves_yellow","Species","population","Snow_melt_DOY","Plants_first_visible_through_snow_DOY","All_snow_free_DOY","Snow_return_EoS_DOY","Full_snow_cover_EoS_DOY","First_leaf_bud_burst_DOY","First_leaf_yellow_DOY","Last_leaves_yellow_DOY"
"113","KLUANECAM4","KLSPE6",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,2021-08-10,2021-09-09,"Salix pulchra","Kluane",NA,NA,NA,270,285,NA,222,252
"114","KLUANECAM4","KLSRE4",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,2021-08-15,2021-09-14,"Salix richardsonii","Kluane",NA,NA,NA,270,285,NA,227,257
"115","KLUANECAM4","HESR2",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,2021-08-06,2021-09-14,"Salix richardsonii","QHI",NA,NA,NA,270,285,NA,218,257
"116","KLUANECAM4","KP17SR2",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,2021-08-07,2021-08-25,"Salix richardsonii","Kluane",NA,NA,NA,270,285,NA,219,237
"117","KLUANECAM4","KP17SR2",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,2021-08-10,2021-08-31,"Salix richardsonii","Kluane",NA,NA,NA,270,285,NA,222,243
"118","KLUANECAM4","G",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,2021-08-05,NA,NA,NA,NA,NA,NA,270,285,NA,217,NA
"119","KLUANECAM4","KPSR5",2022,NA,2022-04-23,2022-04-24,NA,NA,NA,NA,NA,NA,"Salix richardsonii","Kluane",113,NA,114,NA,NA,NA,NA,NA
"120","KLUANECAM4","KLSPE6",2022,2022-03-23,2022-04-23,2022-04-24,NA,NA,NA,NA,NA,NA,"Salix pulchra","Kluane",113,82,114,NA,NA,NA,NA,NA
"121","KLUANECAM4","KLSRE4",2022,2022-03-23,2022-04-23,2022-04-24,NA,NA,NA,NA,NA,NA,"Salix richardsonii","Kluane",113,82,114,NA,NA,NA,NA,NA
"122","KLUANECAM4","HESR2",2022,2022-03-23,2022-04-23,2022-04-24,NA,NA,NA,NA,2022-08-06,NA,"Salix richardsonii","QHI",113,82,114,NA,NA,NA,218,NA
"123","KLUANECAM4","KP17SR2",2022,2022-03-23,2022-04-23,2022-04-24,NA,NA,NA,NA,2022-08-08,NA,"Salix richardsonii","Kluane",113,82,114,NA,NA,NA,220,NA
"124","KLUANECAM4","KP17SR2",2022,2022-03-23,2022-04-23,2022-04-24,NA,NA,NA,NA,2022-08-04,NA,"Salix richardsonii","Kluane",113,82,114,NA,NA,NA,216,NA
"125","KLUANECAM5","G",2022,2022-03-23,2022-04-23,2022-04-24,NA,NA,NA,NA,NA,NA,NA,NA,113,82,114,NA,NA,NA,NA,NA
"126","TREENOCAM",NA,2021,NA,2021-04-22,2021-04-26,2021-10-03,NA,2021-11-16,NA,NA,NA,NA,NA,112,NA,116,276,320,NA,NA,NA
"127","TREENOCAM",NA,2022,NA,2022-04-23,2022-04-25,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,115,NA,NA,NA,NA,NA
