"","PhenocamID","Year","SampleID_standard","Species","population","All_snow_free_DOY","Snow_return_EoS_DOY","First_bud_burst_DOY","First_leaf_yellow_DOY","growing_season","Site"
"203","F3",2022,NA,"Salix arctica","Northern Source",146,NA,162,194,32,NA
"204","M3",2022,NA,"Salix arctica","Northern Source",131,NA,162,NA,NA,NA
"205","F4",2022,NA,"Salix arctica","Northern Source",131,NA,175,NA,NA,NA
"206","M4",2022,NA,"Salix arctica","Northern Source",131,NA,166,NA,NA,NA
"207","F5",2022,NA,"Salix arctica","Northern Source",131,NA,166,NA,NA,NA
"208","M5",2022,NA,"Salix arctica","Northern Source",131,NA,166,194,28,NA
"209","F6",2022,NA,"Salix arctica","Northern Source",146,NA,162,NA,NA,NA
"210","M6",2022,NA,"Salix arctica","Northern Source",131,NA,162,194,32,NA
"211","F7",2022,NA,"Salix arctica","Northern Source",146,NA,162,194,32,NA
"212","M7",2022,NA,"Salix arctica","Northern Source",146,NA,150,NA,NA,NA
"213","F8",2022,NA,"Salix arctica","Northern Source",131,NA,162,194,32,NA
"214","M8",2022,NA,"Salix arctica","Northern Source",131,NA,162,194,32,NA
"215","F9",2022,NA,"Salix arctica","Northern Source",143,NA,162,194,32,NA
"216","M9",2022,NA,"Salix arctica","Northern Source",143,NA,162,NA,NA,NA
"217","F10",2022,NA,"Salix arctica","Northern Source",143,NA,162,194,32,NA
"218","M10",2022,NA,"Salix arctica","Northern Source",131,NA,162,194,32,NA
"219","F1",2019,NA,"Salix arctica","Northern Source",142,NA,136,NA,NA,NA
"220","M1",2019,NA,"Salix arctica","Northern Source",142,NA,133,NA,NA,NA
"221","F2",2019,NA,"Salix arctica","Northern Source",142,NA,136,NA,NA,NA
"222","M2",2019,NA,"Salix arctica","Northern Source",142,NA,133,196,63,NA
"223","F3",2019,NA,"Salix arctica","Northern Source",142,NA,136,NA,NA,NA
"224","M3",2019,NA,"Salix arctica","Northern Source",142,NA,136,NA,NA,NA
"225","F4",2019,NA,"Salix arctica","Northern Source",142,NA,136,NA,NA,NA
"226","M4",2019,NA,"Salix arctica","Northern Source",142,NA,136,NA,NA,NA
"227","F5",2019,NA,"Salix arctica","Northern Source",142,NA,136,NA,NA,NA
"228","M5",2019,NA,"Salix arctica","Northern Source",142,NA,136,NA,NA,NA
"229","F6",2019,NA,"Salix arctica","Northern Source",142,NA,136,NA,NA,NA
"230","M6",2019,NA,"Salix arctica","Northern Source",142,NA,136,NA,NA,NA
"231","F7",2019,NA,"Salix arctica","Northern Source",142,NA,136,NA,NA,NA
"232","M7",2019,NA,"Salix arctica","Northern Source",142,NA,136,NA,NA,NA
"233","F8",2019,NA,"Salix arctica","Northern Source",142,NA,142,NA,NA,NA
"234","M8",2019,NA,"Salix arctica","Northern Source",139,NA,142,193,51,NA
"235","F9",2019,NA,"Salix arctica","Northern Source",139,NA,139,NA,NA,NA
"236","M9",2019,NA,"Salix arctica","Northern Source",136,NA,142,NA,NA,NA
"237","F10",2019,NA,"Salix arctica","Northern Source",139,NA,142,NA,NA,NA
"238","M10",2019,NA,"Salix arctica","Northern Source",139,NA,142,NA,NA,NA
"239","F1",2018,NA,"Salix arctica","Northern Source",162,NA,171,211,40,NA
"240","M1",2018,NA,"Salix arctica","Northern Source",162,NA,171,205,34,NA
"241","F2",2018,NA,"Salix arctica","Northern Source",162,NA,175,201,26,NA
"242","M2",2018,NA,"Salix arctica","Northern Source",162,NA,175,213,38,NA
"243","F3",2018,NA,"Salix arctica","Northern Source",171,NA,177,205,28,NA
"244","M3",2018,NA,"Salix arctica","Northern Source",162,NA,171,205,34,NA
"245","F4",2018,NA,"Salix arctica","Northern Source",168,NA,171,NA,NA,NA
"246","M4",2018,NA,"Salix arctica","Northern Source",162,NA,183,NA,NA,NA
"247","F5",2018,NA,"Salix arctica","Northern Source",168,NA,NA,NA,NA,NA
"248","M5",2018,NA,"Salix arctica","Northern Source",168,NA,168,213,45,NA
"249","F6",2018,NA,"Salix arctica","Northern Source",162,NA,NA,NA,NA,NA
"250","M6",2018,NA,"Salix arctica","Northern Source",162,NA,201,213,12,NA
"251","F7",2018,NA,"Salix arctica","Northern Source",162,NA,NA,NA,NA,NA
"252","M7",2018,NA,"Salix arctica","Northern Source",162,NA,NA,NA,NA,NA
"253","F8",2018,NA,"Salix arctica","Northern Source",162,NA,171,213,42,NA
"254","M8",2018,NA,"Salix arctica","Northern Source",162,NA,168,205,37,NA
"255","F9",2018,NA,"Salix arctica","Northern Source",168,NA,201,NA,NA,NA
"256","M9",2018,NA,"Salix arctica","Northern Source",162,NA,171,NA,NA,NA
"257","F10",2018,NA,"Salix arctica","Northern Source",162,NA,171,205,34,NA
