"","SampleID_standard","Length_1_mm","Length_2_mm","Length_3_mm","Month","Day","Year","Site","population","Species","mean_leaf_length","Bed","Year_planted","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","mean_stem_elong","mean_width","Latitude","Longitude","Elevation","Sample_ID","Sample_age"
"103","H15SR20",21,25,19,8,11,2016,"Common_garden","Northern","Salix richardsonii",21.6666666666667,"SW",2015,5.4,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,1
"104","H15SR21",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"IR",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"105","H15SR22",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"IR",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"106","H15SR23",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"IR",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"107","H15SR24",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"IR",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"108","H15SR25",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"AC",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"109","H15SR28",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"AC",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"110","H15SR3",11,16,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"LB",2015,1.7,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,1
"111","H15SR30",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"AC",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"112","H15SR4",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"LB",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"113","H15SR5",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"LB",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"114","H15SR6",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"LB",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"115","H15SR7",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"LB",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"116","H15SR8",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"LB",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"117","H15SR9",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,"LB",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"118","HESP11",45,39,48,8,11,2016,"Common_garden","Northern","Salix pulchra",44,"MG",2013,26.6,NA,NA,NA,39,30,36,35,NA,NA,NA,NA,NA,3
"119","HESP12",59,53,64,8,11,2016,"Common_garden","Northern","Salix pulchra",58.6666666666667,"CF",2013,13.5,NA,NA,NA,37,45,50,44,NA,NA,NA,NA,NA,3
"120","HESP12",33,30,34,8,11,2016,"Common_garden","Northern","Salix pulchra",32.3333333333333,"MG",2013,28.5,NA,NA,NA,31,55,43,43,NA,NA,NA,NA,NA,3
"121","HESP14",31,36,30,8,11,2016,"Common_garden","Northern","Salix pulchra",32.3333333333333,"MG",2013,5.9,NA,NA,NA,34,21,15,23.3333333333333,NA,NA,NA,NA,NA,3
"122","HESP17",16,21,21,8,11,2016,"Common_garden","Northern","Salix pulchra",19.3333333333333,"MG",2013,12.3,NA,NA,NA,22,19,21,20.6666666666667,NA,NA,NA,NA,NA,3
"123","HESP18",35,33,31,8,11,2016,"Common_garden","Northern","Salix pulchra",33,"MG",2013,8.3,NA,NA,NA,36,29,34,33,NA,NA,NA,NA,NA,3
"124","HESP2",26,20,23,8,11,2016,"Common_garden","Northern","Salix pulchra",23,"IMS",2013,12.3,NA,NA,NA,32,29,26,29,NA,NA,NA,NA,NA,3
"125","HESP20",39,42,34,8,11,2016,"Common_garden","Northern","Salix pulchra",38.3333333333333,"MG",2013,12,NA,NA,NA,41,36,36,37.6666666666667,NA,NA,NA,NA,NA,3
"126","HESP23",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"AB",2013,NA,NA,NA,NA,55,29,29,37.6666666666667,NA,NA,NA,NA,NA,3
"127","HESP24",29,27,24,8,11,2016,"Common_garden","Northern","Salix pulchra",26.6666666666667,"IMS",2013,21.5,NA,NA,NA,144,62,32,79.3333333333333,NA,NA,NA,NA,NA,3
"128","HESP26",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"AB",2013,NA,NA,NA,NA,20,10,19,16.3333333333333,NA,NA,NA,NA,NA,3
"129","HESP29",31,32,31,8,11,2016,"Common_garden","Northern","Salix pulchra",31.3333333333333,"AB",2013,6.1,NA,NA,NA,35,44,29,36,NA,NA,NA,NA,NA,3
"130","HESP3",39,31,37,8,11,2016,"Common_garden","Northern","Salix pulchra",35.6666666666667,"IMS",2013,37.2,NA,NA,NA,42,40,38,40,NA,NA,NA,NA,NA,3
"131","HESP30",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"AB",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"132","HESP4",24,20,26,8,11,2016,"Common_garden","Northern","Salix pulchra",23.3333333333333,"IMS",2013,46,NA,NA,NA,31,31,25,29,NA,NA,NA,NA,NA,3
"133","HESP4",63,67,71,8,11,2016,"Common_garden","Northern","Salix pulchra",67,"IMS",2013,31,NA,NA,NA,302,202,310,271.333333333333,NA,NA,NA,NA,NA,3
"134","HESP5",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"IMS",2013,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,3
"135","HESP6",40,32,33,8,11,2016,"Common_garden","Northern","Salix pulchra",35,"CF",2013,17.4,NA,NA,NA,35,45,31,37,NA,NA,NA,NA,NA,3
